MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_V	swift_V_err
54477.90000000025	1.4205447120730422e-15	3.957743254648779e-18	9.111721539578822e-16	1.9739669599094933e-18	4.489602230479718e-16	5.792498995730776e-19	7.290121476464557e-16	1.6483751098590452e-18	1.4250200798324596e-15	1.100207692156875e-17	9.031784494495917e-16	2.4434871487938905e-17	9.79737290772388e-16	3.1401714856790175e-17
54477.95000000025	1.4091322732356697e-15	3.989571280740741e-18	9.106925264546782e-16	1.9646109761522244e-18	4.484934550054345e-16	5.8274171034213095e-19	7.277276885477169e-16	1.6539330839688993e-18	1.4018608415779485e-15	1.0986662610130233e-17	8.672665183170113e-16	2.4594673572705563e-17	9.81643148150461e-16	3.1532893045119033e-17
54478.000000000255	1.3981304518008766e-15	4.0226129548198416e-18	9.104918541524206e-16	1.9566405934245277e-18	4.480888363472237e-16	5.862551336786559e-19	7.266336617296476e-16	1.6601777281876107e-18	1.3794011712751563e-15	1.0963159640671531e-17	8.338145397894711e-16	2.4768332917373247e-17	9.837191836136212e-16	3.1653557046937794e-17
54478.05000000026	1.387551242099846e-15	4.057008851817763e-18	9.105725066442035e-16	1.95027798844972e-18	4.477506720395277e-16	5.898130817589361e-19	7.2573468516061e-16	1.6672343996814513e-18	1.3576501962340065e-15	1.0931999264922428e-17	8.027264618988515e-16	2.4957355773437714e-17	9.85964692479354e-16	3.1763052648428243e-17
54478.10000000026	1.3774047309341965e-15	4.092931386380008e-18	9.10936036000052e-16	1.9457448222716048e-18	4.474829350744092e-16	5.934421613267022e-19	7.250345761060619e-16	1.6752357155132315e-18	1.33661625842204e-15	1.089367852929304e-17	7.738995135062719e-16	2.5164070168523643e-17	9.883789738547896e-16	3.1861123217484336e-17
54478.15000000026	1.3676991470065135e-15	4.130587312871823e-18	9.115832605322611e-16	1.9432645993088445e-18	4.472892708811486e-16	5.971761638657399e-19	7.245363632395052e-16	1.684324438506761e-18	1.3163068823638553e-15	1.0848749388501826e-17	7.472255024900465e-16	2.539169878216062e-17	9.909613306200541e-16	3.1947889173388456e-17
54478.200000000266	1.3584409121944449e-15	4.1702183753050084e-18	9.125143459707426e-16	1.9430630916583765e-18	4.47173001560222e-16	6.010606022898796e-19	7.242423008396269e-16	1.694656313648966e-18	1.296728806446719e-15	1.0797863886337572e-17	7.225920354458581e-16	2.5644418330572488e-17	9.937110694119621e-16	3.202382621933036e-17
54478.25000000027	1.3496346953792034e-15	4.212098129625795e-18	9.137287848067123e-16	1.945355047782238e-18	4.471371303647406e-16	6.051569684605944e-19	7.241538856244637e-16	1.7064009446518298e-18	1.2778880764925602e-15	1.0741874532396244e-17	6.998836564596297e-16	2.592739680296496e-17	9.966275006074928e-16	3.208974215883043e-17
54478.30000000027	1.3412834694770968e-15	4.256522573795481e-18	9.152248451374709e-16	1.9502820559659914e-18	4.471843470072912e-16	6.095438852038588e-19	7.24271876812898e-16	1.7197381265766198e-18	1.2597901973229809e-15	1.0681982719959509e-17	6.789829047517602e-16	2.624679818033571e-17	9.997099383076776e-16	3.2146751981819047e-17
54478.350000000275	1.3333890615429827e-15	4.303751163612952e-18	9.169995720684734e-16	1.957902739027194e-18	4.473171167591255e-16	6.1429603526573875e-19	7.245966416010134e-16	1.7348177652877835e-18	1.242440334678456e-15	1.0619915983568896e-17	6.597712928095136e-16	2.660974325035332e-17	1.0029577003209808e-15	3.2196250803655734e-17
