MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err
54433.019899998464	2.8131037149679794e-15	1.8386644096600487e-17	8.137944259127197e-16	3.592477627329071e-18	1.3436245387320269e-15	7.663003595611423e-18	2.4175529413561772e-15	8.162602819667008e-17	1.953919300435676e-15	1.9364525007782798e-17
54433.06989999847	2.8376535054803698e-15	1.8553485487941206e-17	8.205012415495408e-16	3.6400979338709395e-18	1.355063128635392e-15	7.734200116588654e-18	2.4372012425028675e-15	8.237897703043201e-17	1.9736117858917203e-15	1.952433799239928e-17
54433.11989999847	2.8618747228610254e-15	1.8719337895599176e-17	8.271534737247811e-16	3.662281257200925e-18	1.3663631462257557e-15	7.805296059194722e-18	2.4567032430150044e-15	8.309522505385416e-17	1.9930992467681833e-15	1.9681705849018385e-17
54433.16989999847	2.8857732228923922e-15	1.8884124777681905e-17	8.337524306075165e-16	3.661187247972601e-18	1.3775281306888723e-15	7.876183823250762e-18	2.4760622975168996e-15	8.378629761068122e-17	2.0123837626195253e-15	1.9836640750837418e-17
54433.219899998476	2.909354856346422e-15	1.90478313546813e-17	8.402994193023441e-16	3.644670652918714e-18	1.3885616155725441e-15	7.946786485344365e-18	2.4952817038354235e-15	8.447196966441704e-17	2.0314674103850946e-15	1.9989170746140402e-17
54433.26989999848	2.9326254690891257e-15	1.9210505146781608e-17	8.467957458759936e-16	3.625884848595654e-18	1.399467132730338e-15	8.017060336968148e-18	2.514364703478109e-15	8.517889284298854e-17	2.0503522644150978e-15	2.0139339816065396e-17
54433.31989999848	2.955590902152242e-15	1.9372255563033162e-17	8.532427153466826e-16	3.622175038313763e-18	1.4102482123593214e-15	8.086995771742535e-18	2.5333146016725544e-15	8.593248439426196e-17	2.0690403964948793e-15	2.0287207789917953e-17
54433.369899998484	2.9782569918270265e-15	1.9533252592308904e-17	8.596416253504658e-16	3.652165125956252e-18	1.4209083830474016e-15	8.156617567237606e-18	2.552135472136684e-15	8.671888283368931e-17	2.0875338758711635e-15	2.0432850123833584e-17
54433.41989999849	3.0006295697463316e-15	1.9693724634781468e-17	8.659935787050781e-16	3.7177115083716905e-18	1.43145117181624e-15	8.225984599448118e-18	2.570831680930299e-15	8.751037985411558e-17	2.105834769277295e-15	2.0576357548064388e-17
54433.46989999849	3.0227142016515992e-15	1.9853898680485567e-17	8.722994529019616e-16	3.8012338761451915e-18	1.4418801041643512e-15	8.295189020005994e-18	2.5894075413106708e-15	8.82851158017678e-17	2.123945137967119e-15	2.071783307998596e-17
54433.51989999849	3.04451490860595e-15	2.0013719675324403e-17	8.785601119589129e-16	3.885474363428306e-18	1.4521987041125725e-15	8.364354918043894e-18	2.6078673132172564e-15	8.902843373224818e-17	2.141866949867193e-15	2.0857317800879133e-17
54433.569899998496	3.066035144889917e-15	2.01730646322252e-17	8.847764189782768e-16	3.956843782007019e-18	1.4624104925103902e-15	8.433636053618961e-18	2.626215203958917e-15	8.973361046907469e-17	2.159602065292431e-15	2.099477881545819e-17
54433.6198999985	3.087278359585611e-15	2.033186753103126e-17	8.90949236129648e-16	4.006437727996819e-18	1.4725186395156467e-15	8.503127278353744e-18	2.644455368892487e-15	9.04021063139651e-17	2.1771523362711506e-15	2.1130193025112232e-17
54433.6698999985	3.1082479974468287e-15	2.0490121454388493e-17	8.970794246991035e-16	4.030323287484613e-18	1.4825255432817155e-15	8.572758845882274e-18	2.662591912091539e-15	9.104338334425673e-17	2.1945196124363418e-15	2.1263552515722476e-17
54433.719899998505	3.12894749894778e-15	2.0647879703560743e-17	9.03167845087872e-16	4.029554387995843e-18	1.4924334976966443e-15	8.64246378546566e-18	2.680628887005124e-15	9.167431014946994e-17	2.2117057410490795e-15	2.1394864890401142e-17
54433.76989999851	3.149380300337612e-15	2.0805256120289472e-17	9.092153568149949e-16	4.010107918151909e-18	1.5022447953554282e-15	8.712205140069003e-18	2.6985702971078647e-15	9.231814358171581e-17	2.228712567020147e-15	2.1524153475223927e-17
54433.81989999851	3.169549833688305e-15	2.0962424651446684e-17	9.152228185572448e-16	3.982692083838822e-18	1.511961727583898e-15	8.781977101363927e-18	2.7164201101952995e-15	9.300263048709502e-17	2.2455419329329e-15	2.1651457403997434e-17
54433.86989999851	3.189459526946123e-15	2.1119618185124525e-17	9.211910881624308e-16	3.962159108349643e-18	1.5215865844720895e-15	8.851805642688438e-18	2.7341829946696034e-15	9.373498752970343e-17	2.262195679064661e-15	2.1776831586567986e-17
54433.91989999852	3.2091128039789194e-15	2.1277126678721063e-17	9.271210226507296e-16	3.966080781151952e-18	1.5311216548979457e-15	8.921748678354011e-18	2.751864693866366e-15	9.44896689249018e-17	2.2786756434104514e-15	2.190034656455918e-17
54433.96989999852	3.228512945839953e-15	2.1435262921082115e-17	9.330134577753546e-16	4.009197175403237e-18	1.5405692265608107e-15	8.991895771618213e-18	2.7694709964252676e-15	9.524242183245161e-17	2.2949836617038408e-15	2.2022088257437622e-17
54434.01989999852	3.2476619462172373e-15	2.15940988727725e-17	9.388690867211598e-16	4.0836495342046045e-18	1.5499315860012643e-15	9.062367408869864e-18	2.7870076450915685e-15	9.597460244637434e-17	2.3111215626286708e-15	2.2142155559621412e-17
54434.069899998525	3.266561100671983e-15	2.1753600870624268e-17	9.446885417980965e-16	4.171973458247995e-18	1.5592110186404798e-15	9.133313853004948e-18	2.8044803377253303e-15	9.667409552244297e-17	2.32709101137584e-15	2.226059356388143e-17
54434.11989999853	3.2852116940252185e-15	2.1913788937671097e-17	9.50472454332803e-16	4.258462470741154e-18	1.5684098087987479e-15	9.204913585414506e-18	2.821894728301478e-15	9.733581586124461e-17	2.3428934752660815e-15	2.2377378972765168e-17
54434.16989999853	3.3036150071891603e-15	2.2074740174220653e-17	9.562214549174269e-16	4.33086931000868e-18	1.5775301393837225e-15	9.277343982584869e-18	2.839256427901602e-15	9.796184505658502e-17	2.3585304076681256e-15	2.2492498590594476e-17
54434.219899998534	3.321772317178213e-15	2.2236589870553872e-17	9.61936173377691e-16	4.381091280800723e-18	1.5865735181374188e-15	9.3506231506928e-18	2.8565710056974146e-15	9.856123541300758e-17	2.3740032597901588e-15	2.2605954781409894e-17
54434.26989999854	3.339684897132504e-15	2.2399531924813145e-17	9.676172388287783e-16	4.405348030412527e-18	1.595541174159169e-15	9.424718617739895e-18	2.8738439899260792e-15	9.91494903902719e-17	2.3893134806969242e-15	2.2717765821722504e-17
54434.31989999854	3.3573540163318426e-15	2.2563818588302268e-17	9.732652796487194e-16	4.404180510222032e-18	1.6044343346785523e-15	9.499624288317496e-18	2.8910808688573108e-15	9.974771205671368e-17	2.404462517327597e-15	2.2827966146227997e-17
54434.36989999854	3.3747809402211424e-15	2.2729759554928133e-17	9.788809235089973e-16	4.382413754501795e-18	1.6132542259294268e-15	9.575361759858999e-18	2.908287091777477e-15	1.0038138670663699e-16	2.419451814513617e-15	2.2936606490151287e-17
54434.419899998546	3.3919669304204786e-15	2.2897720406357722e-17	9.844647974078123e-16	4.349062633264758e-18	1.6220020731692023e-15	9.651980971339168e-18	2.925468109068602e-15	1.0106604122040519e-16	2.4342828149953324e-15	2.3043753931030447e-17
54434.46989999855	3.4089132447442468e-15	2.3068120420749577e-17	9.900175276008895e-16	4.317007621432877e-18	1.6306791006895684e-15	9.729560439902226e-18	2.9426294524064e-15	1.0178044329672101e-16	2.4489569594396007e-15	2.3149491832324625e-17
54434.51989999855	3.425620942831535e-15	2.3241374846105417e-17	9.955397397411935e-16	4.302126628495603e-18	1.6392865318361425e-15	9.808207102028275e-18	2.959776639625301e-15	1.0249910141722631e-16	2.4634756864582618e-15	2.3253919690196424e-17
54434.569899998554	3.4420900096811415e-15	2.341764492319411e-17	1.0010320583240674e-15	4.321422224974797e-18	1.6478255890190104e-15	9.888055773667427e-18	2.9769151533915536e-15	1.0320088892870984e-16	2.4778404326245063e-15	2.335715288440403e-17
54434.61989999856	3.4583200597454367e-15	2.3597037467740946e-17	1.0064950619937438e-15	4.3808251143125565e-18	1.6562974937295048e-15	9.969268240245657e-18	2.9940504421621038e-15	1.0386997782294272e-16	2.4920526170865764e-15	2.345931722745435e-17
54434.66989999856	3.4743107033765007e-15	2.377971004729587e-17	1.0119292446419536e-15	4.4660197503003195e-18	1.6647034665578565e-15	1.005203198678442e-17	3.0111879211374517e-15	1.0449641791008545e-16	2.5061134209360326e-15	2.3560475462607465e-17
54434.71989999856	3.490061547139539e-15	2.3965872095651518e-17	1.0173350903845164e-15	4.560729197761906e-18	1.6730447272008042e-15	1.0136558576457331e-17	3.028332973207089e-15	1.0507640962914838e-16	2.5200238386727727e-15	2.366064440239888e-17
54434.769899998566	3.5055721938094514e-15	2.41557852704203e-17	1.0227130827225152e-15	4.6508230305059995e-18	1.6813224630126673e-15	1.0223071140936869e-17	3.0454909498882574e-15	1.0561230570481201e-16	2.5337848579003184e-15	2.375985492344518e-17
54434.81989999857	3.520842242359716e-15	2.434976316428581e-17	1.028063704531652e-15	4.725438486866831e-18	1.6895374112328688e-15	1.0311662424388458e-17	3.0626671722578345e-15	1.0611236067642346e-16	2.5473974642560115e-15	2.3858153967820684e-17
54434.86989999857	3.5358712879590766e-15	2.454817038562173e-17	1.0333874380582549e-15	4.777406000934612e-18	1.6976899731785353e-15	1.040233277726463e-17	3.079866931878176e-15	1.0659023137533986e-16	2.5608626414233574e-15	2.3955604814091842e-17
54434.919899998575	3.550658921960071e-15	2.4751421023011023e-17	1.0386847649884697e-15	4.803334512310847e-18	1.7057805413009813e-15	1.049510074637519e-17	3.097095491716195e-15	1.0706421846106414e-16	2.5741813711431834e-15	2.4052287250836066e-17
54434.96989999858	3.565204731900687e-15	2.4959976507440622e-17	1.0439561664070121e-15	4.8035869551829845e-18	1.7138095072107965e-15	1.0590006527269075e-17	3.1143580867479457e-15	1.0755622881998093e-16	2.5873546332262566e-15	2.4148297653874872e-17
