MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
55741.27,16.78,0.04,2.22051839842e-16,8.18069210069e-18,Bessell_I,LTetal,GeneralFilters
55741.27,17.24,0.11,2.82270382147e-16,2.85978692615e-17,Bessell_R,LTetal,GeneralFilters
55741.27,17.69,0.1,3.06772558551e-16,2.82547968104e-17,Bessell_V,LTetal,GeneralFilters
55742.89,18.92,0.17,1.71968200712e-16,2.69260562492e-17,Bessell_B,LTetal,GeneralFilters
55742.89,16.82,0.09,2.14020007989e-16,1.77407740799e-17,Bessell_I,LTetal,GeneralFilters
55742.89,17.26,0.11,2.77118367048e-16,2.80758993222e-17,Bessell_R,LTetal,GeneralFilters
55742.89,19.42,0.37,6.7710899329e-17,2.30746958994e-17,Bessell_U,LTetal,GeneralFilters
55742.89,17.8,0.16,2.77214861087e-16,4.08518916286e-17,Bessell_V,LTetal,GeneralFilters
55749.89,19.06,0.07,1.51163920605e-16,9.74589812514e-18,Bessell_B,LTetal,GeneralFilters
55749.89,16.99,0.09,1.83001384723e-16,1.51695453766e-17,Bessell_I,LTetal,GeneralFilters
55749.89,17.33,0.1,2.59815652366e-16,2.39299059226e-17,Bessell_R,LTetal,GeneralFilters
55749.89,19.4,0.17,6.89697389339e-17,1.07989911061e-17,Bessell_U,LTetal,GeneralFilters
55749.89,17.9,0.06,2.52822958142e-16,1.397151299e-17,Bessell_V,LTetal,GeneralFilters
55749.89,18.55,0.06,1.85605185419e-16,1.02569215951e-17,sdss_g',LTetal,GeneralFilters
55749.89,17.49,0.03,2.00338166107e-16,5.53554809804e-18,sdss_i',LTetal,GeneralFilters
55749.89,17.62,0.05,2.56920875208e-16,1.18316435467e-17,sdss_r',LTetal,GeneralFilters
55749.89,20.18,0.22,7.38428406453e-17,1.49625893203e-17,sdss_u',LTetal,GeneralFilters
55749.89,17.19,0.05,1.82086555381e-16,8.38539576111e-18,sdss_z',LTetal,GeneralFilters
