MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err
54324.26620357169	6.234558863273005e-15	6.883400761366216e-16	1.5716046029464743e-15	3.7272170768802573e-17	2.78134999426606e-15	1.3446912979080942e-16	nan	nan	4.439295876843546e-15	1.7349311749856826e-16	nan	nan	nan	nan
54324.316203571696	6.354716019353412e-15	6.862915734060777e-16	1.6011675709929055e-15	3.71242507597808e-17	2.84121646758072e-15	1.3379800279013586e-16	nan	nan	4.525018168053495e-15	1.7474579236178577e-16	nan	nan	nan	nan
54324.3662035717	6.4757961280666975e-15	6.842096225765326e-16	1.6309241794590754e-15	3.69729344562741e-17	2.9013926475883054e-15	1.3313106653616303e-16	nan	nan	4.611319214933319e-15	1.7595244829106684e-16	nan	nan	nan	nan
54324.4162035717	6.597797513421779e-15	6.820931392985941e-16	1.660874473988047e-15	3.68175631064638e-17	2.961881965805996e-15	1.3246667738158608e-16	nan	nan	4.698200708947396e-15	1.7711263388110065e-16	nan	nan	nan	nan
54324.466203571705	6.720717864680705e-15	6.7992767387142e-16	1.6910185006407358e-15	3.6657595006678634e-17	3.0226878542472332e-15	1.3180333410118424e-16	nan	nan	4.785664342625337e-15	1.7822598268026884e-16	nan	nan	nan	nan
54324.51620357171	6.8445549326438045e-15	6.777004523415639e-16	1.7213563059206966e-15	3.649261483766503e-17	3.083813745468733e-15	1.311396799599021e-16	nan	nan	4.873711809524705e-15	1.792922139938893e-16	nan	nan	nan	nan
54324.56620357171	6.969306542981617e-15	6.75400928624369e-16	1.7518879367442757e-15	3.6322341391470206e-17	3.1452630725913816e-15	1.3047450416928207e-16	nan	nan	4.96234480432045e-15	1.8031113310230838e-16	nan	nan	nan	nan
54324.61620357171	7.094970595707054e-15	6.730209976115192e-16	1.7826134404666173e-15	3.6146633701218396e-17	3.2070392692610585e-15	1.298067427718472e-16	nan	nan	5.051565022689851e-15	1.8128263101494517e-16	nan	nan	nan	nan
54324.666203571716	7.221545064656003e-15	6.705551637231569e-16	1.8135328648683994e-15	3.596549555576391e-17	3.2691457696695287e-15	1.2913547901473155e-16	nan	nan	5.141374161401957e-15	1.8220668368455402e-16	nan	nan	nan	nan
54324.71620357172	7.349027996966006e-15	6.680006653598004e-16	1.8446462581594984e-15	3.5779078414731975e-17	3.331586008611907e-15	1.2845994319657326e-16	nan	nan	5.231773918250793e-15	1.8308335077785831e-16	nan	nan	nan	nan
54324.76620357172	7.477417512570228e-15	6.653575552788005e-16	1.8759536689800358e-15	3.558768263806908e-17	3.3943634214109124e-15	1.2777951202058538e-16	nan	nan	5.322765992150286e-15	1.8391277395014334e-16	nan	nan	nan	nan
54324.816203571725	7.606711803686247e-15	6.626287363795402e-16	1.907455146393573e-15	3.539175698698042e-17	3.4574814439717167e-15	1.2709370747174523e-16	nan	nan	5.414352083056497e-15	1.8469517469606326e-16	nan	nan	nan	nan
54324.86620357173	7.736909134315683e-15	6.598199517684875e-16	1.9391507398991534e-15	3.519189626685883e-17	3.5209435127793342e-15	1.2640219521882313e-16	nan	nan	5.506533891982256e-15	1.854308517177823e-16	nan	nan	nan	nan
54324.91620357173	7.868007839748212e-15	6.569397273113097e-16	1.971040499426065e-15	3.4988836960119314e-17	3.584753064898621e-15	1.2570478252947717e-16	nan	nan	5.599313104353249e-15	1.8612015888674606e-16	nan	nan	nan	nan
54324.966203571734	8.000006326068582e-15	6.539992642097196e-16	2.003124475322498e-15	3.4783450705547175e-17	3.648913537997782e-15	1.2500141573031895e-16	nan	nan	5.692690865958664e-15	1.8676290889589144e-16	nan	nan	nan	nan
