MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_u'	sdss_u'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55269.30000000016	nan	nan	nan	nan	1.6173169563937542e-16	3.228138178508718e-17	2.348743158641382e-16	1.345868258946775e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.350000000166	nan	nan	nan	nan	1.6554606824742657e-16	3.262611646510505e-17	2.421573585686378e-16	1.3619721345460876e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.40000000017	nan	nan	nan	nan	1.6936107607777777e-16	3.2933253741690496e-17	2.4947876532379515e-16	1.377625586250768e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.45000000017	nan	nan	nan	nan	1.7318061931428796e-16	3.320278053073292e-17	2.5683843398049745e-16	1.3929033675252558e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.500000000175	nan	nan	nan	nan	1.7700859825479032e-16	3.3434749846077463e-17	2.6423626262560767e-16	1.4078832094144653e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.55000000018	nan	nan	nan	nan	1.8084891346643435e-16	3.362928162009378e-17	2.7167214958093376e-16	1.4226452529021493e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.60000000018	nan	nan	nan	nan	1.847054659410785e-16	3.3786563709072404e-17	2.7914595429251355e-16	1.437256238037198e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.65000000018	nan	nan	nan	nan	1.8858215725059554e-16	3.390685308974578e-17	2.86657380000067e-16	1.451723592623257e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.700000000186	nan	nan	nan	nan	1.9248288970245093e-16	3.399047725390945e-17	2.9420609106448365e-16	1.466041290144257e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.75000000019	nan	nan	nan	nan	1.9641156649496866e-16	3.4037835808272925e-17	3.017917520756769e-16	1.4802055932647342e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.80000000019	nan	nan	nan	nan	2.0037209187291234e-16	3.404940228621276e-17	3.09414027851453e-16	1.4942155437835012e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.850000000195	nan	nan	nan	nan	2.043683712829312e-16	3.4025726178380065e-17	3.1707258343375214e-16	1.5080733653680145e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.9000000002	nan	nan	nan	nan	2.0840431152901155e-16	3.3967435187802877e-17	3.247670840881828e-16	1.5217847858920985e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.9500000002	nan	nan	nan	nan	2.124838209282152e-16	3.3875237713851886e-17	3.324971953005623e-16	1.5353592846736726e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.000000000204	nan	nan	nan	nan	2.166108094660804e-16	3.374992556722793e-17	3.402625827751871e-16	1.5488102696950286e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.05000000021	nan	nan	nan	nan	2.2078918895250336e-16	3.359237691520029e-17	3.480629124328034e-16	1.562155188392596e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.10000000021	nan	nan	nan	nan	2.2502287317723204e-16	3.3403559451009144e-17	3.558978504086783e-16	1.575415575144448e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.15000000021	nan	nan	nan	nan	2.2931577806579265e-16	3.31845337760064e-17	3.6376706304943923e-16	1.5886170377163218e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.200000000215	nan	nan	nan	nan	2.3367182183521373e-16	3.2936456973721864e-17	3.716702169122095e-16	1.6017891843073588e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.25000000022	nan	nan	nan	nan	2.38094925150096e-16	3.266058634445413e-17	3.796069787617139e-16	1.6149654922969207e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.30000000022	nan	nan	nan	nan	2.4258901127841807e-16	3.235828325398064e-17	3.8757701556831647e-16	1.6281831194478188e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.350000000224	nan	nan	nan	nan	2.47158006247665e-16	3.2031017030782324e-17	3.955799945054257e-16	1.6414826581909092e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.40000000023	nan	nan	nan	nan	2.5180583900097694e-16	3.168036882252588e-17	4.0361558294829703e-16	1.6549078333029873e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.45000000023	nan	nan	nan	nan	2.5653644155332276e-16	3.130803529132934e-17	4.116834484711722e-16	1.6685051437846265e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.50000000023	nan	nan	nan	nan	2.6135374914791836e-16	3.0915831989474235e-17	4.197832588450839e-16	1.6823234495797807e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.550000000236	nan	nan	nan	nan	2.6626170041243103e-16	3.0505696210726135e-17	4.279146820359262e-16	1.6964135048220707e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.60000000024	nan	nan	nan	nan	2.712642375158503e-16	3.007968905472097e-17	4.360773650768495e-16	1.7108147077960728e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.65000000024	nan	nan	nan	nan	2.763653063246446e-16	2.96399963751004e-17	4.442708706865099e-16	1.7255165590067002e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.700000000244	nan	nan	nan	nan	2.815688565599382e-16	2.918892820220511e-17	4.524947406448325e-16	1.7404971157974647e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.75000000025	nan	nan	nan	nan	2.8687884195400797e-16	2.872891614130209e-17	4.607485169176221e-16	1.7557361369113793e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.80000000025	nan	nan	nan	nan	2.9229922040749387e-16	2.826250814770817e-17	4.690317416513084e-16	1.7712154271038828e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.85000000025	nan	nan	nan	nan	2.9783395414627247e-16	2.779235997458054e-17	4.773439571718143e-16	1.786919117108509e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.900000000256	nan	nan	nan	nan	3.0348700514602424e-16	2.7321220227967106e-17	4.856847059805646e-16	1.8028338825580487e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55270.95000000026	nan	nan	nan	nan	3.092613366426263e-16	2.6851437229108346e-17	4.940535307524237e-16	1.8189491057864584e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55271.00000000026	nan	nan	nan	nan	3.15157677954077e-16	2.6384358493588806e-17	5.024499743319692e-16	1.8352569842003765e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55271.050000000265	nan	nan	nan	nan	3.211764602755482e-16	2.5921256718951137e-17	5.108735797310316e-16	1.8517525885677353e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55271.10000000027	nan	nan	nan	nan	3.2731798627586116e-16	2.546342100186962e-17	5.193238901256994e-16	1.868433874758293e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
