MJD,Mag,Mag_err,band,Instr
56510.966,16.067,0.018,Bessell_I,LCOGT
56510.968,16.075,0.05,sdss_z',LCOGT
56511.457,18.377,0.049,Bessell_B,LCOGT
56511.46,17.218,0.02,Bessell_V,LCOGT
56511.462,17.743,0.019,sdss_g',LCOGT
56512.154,19.101,0.341,Bessell_U,LCOGT
56512.161,16.686,0.026,Bessell_R,LCOGT
56512.163,16.048,0.023,Bessell_I,LCOGT
56512.165,16.038,0.034,sdss_z',LCOGT
56512.18,18.538,0.05,Bessell_B,LCOGT
56512.184,17.26,0.022,Bessell_V,LCOGT
56512.186,17.892,0.014,sdss_g',LCOGT
56512.189,16.996,0.021,sdss_r',LCOGT
56512.191,16.672,0.029,sdss_i',LCOGT
56512.423,18.372,0.049,Bessell_B,LCOGT
56512.456,17.246,0.028,Bessell_V,LCOGT
56512.458,17.79,0.015,sdss_g',LCOGT
56512.462,16.997,0.016,sdss_r',LCOGT
56512.464,16.719,0.027,sdss_i',LCOGT
56513.057,16.625,0.024,Bessell_R,LCOGT
56513.059,16.062,0.035,Bessell_I,LCOGT
56513.062,15.999,0.05,sdss_z',LCOGT
56514.453,18.333,0.04,Bessell_B,LCOGT
56514.457,17.251,0.02,Bessell_V,LCOGT
56515.069,18.508,0.066,Bessell_B,LCOGT
56515.074,17.9,0.022,sdss_g',LCOGT
56515.078,17.036,0.021,sdss_r',LCOGT
56515.08,16.691,0.025,sdss_i',LCOGT
56516.407,18.437,0.037,Bessell_B,LCOGT
56516.411,17.302,0.02,Bessell_V,LCOGT
56516.413,17.835,0.013,sdss_g',LCOGT
56516.416,17.055,0.02,sdss_r',LCOGT
56516.418,16.804,0.02,sdss_i',LCOGT
56517.968,19.366,0.31,Bessell_U,LCOGT
56517.977,18.419,0.022,Bessell_B,LCOGT
56517.982,17.376,0.02,Bessell_V,LCOGT
56517.985,16.739,0.016,Bessell_R,LCOGT
56517.987,16.23,0.017,Bessell_I,LCOGT
56518.036,17.926,0.014,sdss_g',LCOGT
56518.041,17.116,0.018,sdss_r',LCOGT
56518.044,16.833,0.019,sdss_i',LCOGT
56518.046,16.079,0.027,sdss_z',LCOGT
56518.408,19.123,0.348,Bessell_U,LCOGT
56518.417,18.466,0.036,Bessell_B,LCOGT
56518.421,17.35,0.016,Bessell_V,LCOGT
56518.424,16.713,0.018,Bessell_R,LCOGT
56518.427,16.179,0.019,Bessell_I,LCOGT
56519.009,18.544,0.046,Bessell_B,LCOGT
56519.012,17.897,0.021,sdss_g',LCOGT
56519.014,17.481,0.029,Bessell_V,LCOGT
56519.014,17.117,0.02,sdss_r',LCOGT
56519.017,16.837,0.014,Bessell_R,LCOGT
56519.017,16.875,0.019,sdss_i',LCOGT
56519.019,16.23,0.021,Bessell_I,LCOGT
56522.114,18.026,0.039,sdss_g',LCOGT
56522.118,17.258,0.028,sdss_r',LCOGT
56522.121,16.957,0.034,sdss_i',LCOGT
