MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_V	swift_V_err
55966.050000000294	1.152778646446897e-15	1.960289083303229e-17	4.870851075176842e-16	1.2915722618381272e-17	8.035606354959228e-16	1.4271683611139105e-17	1.1569629387827914e-15	1.8516922897621937e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.1000000003	1.1646877693303482e-15	1.9571846038032157e-17	4.903950227280967e-16	1.2826385673274265e-17	8.115759927413242e-16	1.4242597643496226e-17	1.1688625039068342e-15	1.845762462220033e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.1500000003	1.1765760035310203e-15	1.9563821731056914e-17	4.936680417539452e-16	1.2737389772492099e-17	8.195737524950365e-16	1.422119978489946e-17	1.1807350699475852e-15	1.8402008234255867e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.2000000003	1.1884438899240417e-15	1.957084287564445e-17	4.969048328116181e-16	1.2648297153753504e-17	8.275542755953052e-16	1.4204430396801413e-17	1.1925813651297137e-15	1.8347996605726285e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.250000000306	1.2002919687216965e-15	1.958514881552569e-17	5.001060638076608e-16	1.2558701213953847e-17	8.3551792263465e-16	1.4189357588221293e-17	1.2044021174102486e-15	1.8293640510112777e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.30000000031	1.2121207794845466e-15	1.9599511330522958e-17	5.032724023442205e-16	1.2468233629757705e-17	8.434650539638145e-16	1.417327244148151e-17	1.2161980544854164e-15	1.8237171156147597e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.35000000031	1.223930861132898e-15	1.9607482827974807e-17	5.064045157248226e-16	1.2376570771455292e-17	8.513960296966796e-16	1.4153766843039642e-17	1.227969903796717e-15	1.8177045026952085e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.400000000314	1.2357227519580403e-15	1.9603581968297463e-17	5.095030709595017e-16	1.2283439423100843e-17	8.593112097136651e-16	1.4128795425101216e-17	1.2397183925374877e-15	1.81119815970719e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.45000000032	1.2474969896335856e-15	1.9583427251660866e-17	5.125687347706521e-16	1.2188621828130667e-17	8.672109536661441e-16	1.4096723606933513e-17	1.2514442476595277e-15	1.804099460777971e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.50000000032	1.2592541112266193e-15	1.954382978822193e-17	5.156021735982049e-16	1.2091960076327483e-17	8.750956209807255e-16	1.405636382674513e-17	1.2631481958798112e-15	1.7963417587607057e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.55000000032	1.2709946532090589e-15	1.9482855359459566e-17	5.186040536052479e-16	1.1993359845114493e-17	8.829655708631706e-16	1.400700186446464e-17	1.2748309636858633e-15	1.787892420462444e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.600000000326	1.2827191514688545e-15	1.9399863617913005e-17	5.215750406836364e-16	1.1892793498518542e-17	8.90821162303056e-16	1.3948414734836193e-17	1.2864932773434887e-15	1.7787543883906723e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.65000000033	1.2944281413211601e-15	1.929552934085903e-17	5.245158004592253e-16	1.179030253545653e-17	8.986627540771605e-16	1.3880881063787555e-17	1.2981358629027827e-15	1.7689672880026664e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.70000000033	1.3061221575197113e-15	1.9171847320472538e-17	5.274269982976276e-16	1.1685999362281417e-17	9.064907047544096e-16	1.3805184167844113e-17	1.3097594462037849e-15	1.758608071873943e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.750000000335	1.317801734267771e-15	1.9032118867088592e-17	5.303092993094282e-16	1.1580068346142584e-17	9.143053726994111e-16	1.3722607306798526e-17	1.3213647528841847e-15	1.7477911593551894e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.80000000034	1.329467405229684e-15	1.888091409744618e-17	5.331633683557209e-16	1.1472766082441782e-17	9.221071160767039e-16	1.3634919770501856e-17	1.332952508385292e-15	1.7366679948677744e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.85000000034	1.3411197035416453e-15	1.8724000310081417e-17	5.359898700539771e-16	1.1364420786712773e-17	9.29896292855587e-16	1.3544351672551088e-17	1.3445234379579014e-15	1.7254259119869318e-17	nan	nan	nan	nan	nan	nan	nan	nan
