MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56452.65000000021	1.9600990514022963e-14	2.303150866855051e-16	4.137090533901798e-15	4.6045679887118256e-17	8.397964106877078e-15	7.27789728689443e-17	2.8078576093746873e-14	6.392370345363262e-16	1.0906166853183303e-14	6.658838015455274e-17	nan	nan	nan	nan	nan	nan	2.9596063789426964e-14	7.086076156464038e-16	nan	nan	nan	nan
56452.700000000215	1.958108232138614e-14	2.29689109099169e-16	4.1606901298544356e-15	4.601647841554049e-17	8.385000273514576e-15	7.250133585042308e-17	2.8052235371902317e-14	6.38979673064741e-16	1.0892006316547804e-14	6.603930815131211e-17	nan	nan	nan	nan	nan	nan	2.947041558346892e-14	7.064727637249449e-16	nan	nan	nan	nan
56452.75000000022	1.9552352737637562e-14	2.289763252029611e-16	4.1825845182936775e-15	4.5966085595934765e-17	8.368961692290583e-15	7.21967356245981e-17	2.8015807913580143e-14	6.384870216478998e-16	1.0873878013504323e-14	6.548927889388e-17	nan	nan	nan	nan	nan	nan	2.933340643387609e-14	7.041267435870224e-16	nan	nan	nan	nan
56452.80000000022	1.9515119880605154e-14	2.28179588552368e-16	4.202784311358745e-15	4.5895030220027006e-17	8.349981708341206e-15	7.186758917583912e-17	2.7969422358089467e-14	6.377661312506287e-16	1.0851877543369118e-14	6.495600449591498e-17	nan	nan	nan	nan	nan	nan	2.918549545943331e-14	7.01577381623606e-16	nan	nan	nan	nan
56452.850000000224	1.946970123380773e-14	2.2730170025468227e-16	4.221301300514132e-15	4.580384326640259e-17	8.328188529809213e-15	7.151642305581424e-17	2.7913218750392904e-14	6.368246320816734e-16	1.082608785829246e-14	6.445912476894413e-17	nan	nan	nan	nan	nan	nan	2.9027132219236394e-14	6.988322837692247e-16	nan	nan	nan	nan
56452.90000000023	1.9416413182453666e-14	2.2634541230284804e-16	4.238148433426095e-15	4.5693057284248836e-17	8.303705302376295e-15	7.11458109142134e-17	2.78473479809856e-14	6.356706277969564e-16	1.0796579131596666e-14	6.401921683232984e-17	nan	nan	nan	nan	nan	nan	2.885875699601217e-14	6.958988458213022e-16	nan	nan	nan	nan
56452.95000000023	1.9355570575830698e-14	2.2531342914138085e-16	4.253339791084078e-15	4.556320585062615e-17	8.276652075377429e-15	7.075809257621731e-17	2.7771971232551947e-14	6.343126002696088e-16	1.076342494077512e-14	6.365319554618598e-17	nan	nan	nan	nan	nan	nan	2.8680801042311575e-14	6.927842631342028e-16	nan	nan	nan	nan
56453.00000000023	1.928748631491125e-14	2.242084073158462e-16	4.266890565142562e-15	4.541482309502428e-17	8.24715765151962e-15	7.035402342741821e-17	2.768725943326983e-14	6.32759323616309e-16	1.072680628491077e-14	6.335354260105164e-17	nan	nan	nan	nan	nan	nan	2.849368679500518e-14	6.894955397331882e-16	nan	nan	nan	nan
56453.050000000236	1.9212470964076313e-14	2.230329530157248e-16	4.278817035434056e-15	4.5248443284213817e-17	8.215352216265898e-15	6.993360458203017e-17	2.759339271665729e-14	6.310197863017813e-16	1.0686945296962091e-14	6.310134104066712e-17	nan	nan	nan	nan	nan	nan	2.8297828062915014e-14	6.860394968839178e-16	nan	nan	nan	nan
56453.10000000024	1.91308321916723e-14	2.2178959948890555e-16	4.289136547608142e-15	4.506460046259012e-17	8.181361356490382e-15	6.949678980201597e-17	2.749055988787003e-14	6.291031202661477e-16	1.0644051661551422e-14	6.287799240695947e-17	nan	nan	nan	nan	nan	nan	2.80936301918472e-14	6.824227811471478e-16	nan	nan	nan	nan
