MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_z	sdss_z_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55993.026499985666	2.357758754498958e-15	1.5279538853125792e-16	1.0328884833544314e-15	4.173186308717517e-17	1.7582031105461054e-15	6.981096479200535e-17	2.5629048667832278e-15	1.0387210573613206e-16	1.0013703213988903e-15	3.878336481910031e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55993.07649998567	2.408130384112073e-15	1.5457146220092607e-16	1.0535869679768733e-15	4.2176671923358835e-17	1.793928862102939e-15	7.056562859297854e-17	2.6154904977821757e-15	1.0500591995154052e-16	1.0217004034021466e-15	3.920398463067024e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55993.12649998567	2.4588511668742616e-15	1.5639302823321067e-16	1.0744376653079837e-15	4.2619791009409e-17	1.8299334587378895e-15	7.131862575649501e-17	2.668500186846202e-15	1.0613890652199323e-16	1.0421885229005228e-15	3.962367423034604e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55993.176499985675	2.509917513648519e-15	1.5830215913321493e-16	1.0954401174676438e-15	4.306120700382592e-17	1.8662163297581286e-15	7.207005681319717e-17	2.7219330090304508e-15	1.072712301698689e-16	1.0628343837536147e-15	4.004252813650881e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55993.22649998568	2.5613263604151523e-15	1.6031350371369055e-16	1.1165938668041387e-15	4.350091812506657e-17	1.9027769049966535e-15	7.282005130739323e-17	2.775788040491136e-15	1.0840311193492342e-16	1.083637690095103e-15	4.04606561338655e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55993.27649998568	2.6130754545199713e-15	1.6239673413679468e-16	1.1378984559003087e-15	4.3938934481248365e-17	1.9396146148108757e-15	7.35687672665325e-17	2.8300643584740327e-15	1.0953482769255123e-16	1.1045981463211217e-15	4.0878182751664056e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55993.326499985684	2.6651626488090145e-15	1.645197830095925e-16	1.1593534275661402e-15	4.437527828468576e-17	1.976728890081563e-15	7.431639039859753e-17	2.884761041313325e-15	1.1066670615204641e-16	1.1257154570949116e-15	4.129524661310919e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55993.37649998569	2.717585832144878e-15	1.6665436246800748e-16	1.1809583248373397e-15	4.4809983941367885e-17	2.0141191622142515e-15	7.506313304238572e-17	2.9398771684314795e-15	1.117991263660315e-16	1.1469893273495325e-15	4.171199965439073e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55993.42649998569	2.7703429287972074e-15	1.687770129593516e-16	1.2027126909826863e-15	4.5243098021889944e-17	2.051784863122327e-15	7.580923289513097e-17	2.995411820331057e-15	1.1293251477886664e-16	1.1684194622789482e-15	4.2128606228871715e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55993.47649998569	2.8234318978362633e-15	1.7086981819829406e-16	1.2246160694922902e-15	4.5674679134221015e-17	2.08972542525064e-15	7.655495150843222e-17	3.0513640779687845e-15	1.1406734140504724e-16	1.190005464498305e-15	4.254518593148021e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
